pivot,sl_mult,tp_mult,tf_filter,trades,winrate,pnl
3,0.5,1.0,none,223,31.08108108108108,-8440.177674605475
3,0.5,1.0,1h,208,31.70731707317073,-7491.405960293908
3,0.5,1.0,4h,177,30.285714285714285,-6921.236698031001
3,0.5,2.0,none,223,17.727272727272727,-10260.03632624903
3,0.5,2.0,1h,208,15.841584158415841,-10370.241115436052
3,0.5,2.0,4h,177,13.793103448275861,-10157.69274526656
3,0.5,3.0,none,223,11.46788990825688,-11283.442289008308
3,0.5,3.0,1h,208,10.0,-11436.02944625546
3,0.5,3.0,4h,177,9.883720930232558,-9881.098708025838
3,0.5,4.0,none,223,10.091743119266056,-10283.442289008308
3,0.5,4.0,1h,208,7.5,-11936.02944625546
3,0.5,4.0,4h,177,6.976744186046512,-10681.098708025838
3,1.0,1.0,none,223,45.833333333333336,-1787.5502368286939
3,1.0,1.0,1h,208,39.59390862944162,-3995.1443688495415
3,1.0,1.0,4h,177,42.10526315789474,-2763.5571008243523
3,1.0,2.0,none,223,29.85781990521327,-1876.9349310184707
3,1.0,2.0,1h,208,20.105820105820104,-6963.408441225491
3,1.0,2.0,4h,177,22.5609756097561,-4914.825749297268
3,1.0,3.0,none,223,21.568627450980394,-1659.0889661671038
3,1.0,3.0,1h,208,13.043478260869565,-7726.161251200389
3,1.0,3.0,4h,177,16.9811320754717,-4169.233969211237
3,1.0,4.0,none,223,18.407960199004975,414.6978715702328
3,1.0,4.0,1h,208,8.88888888888889,-7761.378266820915
3,1.0,4.0,4h,177,12.258064516129032,-3902.476553571874
3,1.5,1.0,none,223,45.933014354066984,-1633.292873019807
3,1.5,1.0,1h,208,37.234042553191486,-4752.131256360571
3,1.5,1.0,4h,177,39.877300613496935,-3308.845142054339
3,1.5,2.0,none,223,32.142857142857146,32.13747974336593
3,1.5,2.0,1h,208,20.454545454545453,-6198.876399092778
3,1.5,2.0,4h,177,25.827814569536425,-2812.288267063019
3,1.5,3.0,none,223,22.513089005235603,-58.904053095889054
3,1.5,3.0,1h,208,9.467455621301776,-8523.812638359217
3,1.5,3.0,4h,177,13.698630136986301,-5158.925934020805
3,1.5,4.0,none,223,14.917127071823204,-488.1088949552435
3,1.5,4.0,1h,208,3.048780487804878,-10725.666483382753
3,1.5,4.0,4h,177,7.142857142857143,-6035.5249496017805
3,2.0,1.0,none,223,46.733668341708544,-1544.198279275443
3,2.0,1.0,1h,208,35.26011560693642,-5309.396644188113
3,2.0,1.0,4h,177,38.70967741935484,-3561.607894553119
3,2.0,2.0,none,223,29.891304347826086,-1249.5987568156138
3,2.0,2.0,1h,208,16.875,-7265.000534146045
3,2.0,2.0,4h,177,20.714285714285715,-4400.007133562971
3,2.0,3.0,none,223,16.470588235294116,-3032.7506280020148
3,2.0,3.0,1h,208,3.3333333333333335,-10998.558260847018
3,2.0,3.0,4h,177,8.270676691729323,-6898.935595858539
3,2.0,4.0,none,223,12.195121951219512,-2261.613990267579
3,2.0,4.0,1h,208,2.0134228187919465,-11287.319564133957
3,2.0,4.0,4h,177,6.818181818181818,-6587.6968991454805
5,0.5,1.0,none,221,38.009049773755656,-5300.0
5,0.5,1.0,1h,206,36.94581280788177,-5216.984845297074
5,0.5,1.0,4h,175,36.7816091954023,-4600.0
5,0.5,2.0,none,221,25.90909090909091,-4871.603794911442
5,0.5,2.0,1h,206,23.5,-5539.813821860318
5,0.5,2.0,4h,175,23.25581395348837,-5021.223675565212
5,0.5,3.0,none,221,19.069767441860463,-4428.596663226626
5,0.5,3.0,1h,206,16.3265306122449,-5797.408071500111
5,0.5,3.0,4h,175,15.976331360946746,-5551.110988244076
5,0.5,4.0,none,221,14.953271028037383,-4600.091545125405
5,0.5,4.0,1h,206,11.458333333333334,-6631.142305372499
5,0.5,4.0,4h,175,12.574850299401197,-5425.866130492084
5,1.0,1.0,none,221,59.25925925925926,3887.8253052192827
5,1.0,1.0,1h,206,55.38461538461539,2141.012858736783
5,1.0,1.0,4h,175,55.62130177514793,1911.8388293090957
5,1.0,2.0,none,221,39.51219512195122,4305.630845926256
5,1.0,2.0,1h,206,31.666666666666668,191.49864023447003
5,1.0,2.0,4h,175,36.075949367088604,2001.4718649724043
5,1.0,3.0,none,221,26.020408163265305,2491.084009276424
5,1.0,3.0,1h,206,16.184971098265898,-4020.411236826909
5,1.0,3.0,4h,175,22.0,-159.45224766935058
5,1.0,4.0,none,221,19.689119170984455,2079.4578232524864
5,1.0,4.0,1h,206,8.235294117647058,-7201.610090224183
5,1.0,4.0,4h,175,13.013698630136986,-2428.8203847402483
5,1.5,1.0,none,221,58.45410628019324,3652.449010121619
5,1.5,1.0,1h,206,52.1505376344086,1045.555011782161
5,1.5,1.0,4h,175,52.79503105590062,1023.5689441038201
5,1.5,2.0,none,221,33.333333333333336,1214.8138504138683
5,1.5,2.0,1h,206,21.686746987951807,-4388.210324969825
5,1.5,2.0,4h,175,27.77777777777778,-1318.194439463133
5,1.5,3.0,none,221,23.91304347826087,1133.1712872246449
5,1.5,3.0,1h,206,10.0,-7451.408326247232
5,1.5,3.0,4h,175,15.217391304347826,-3261.638974852671
5,1.5,4.0,none,221,18.333333333333332,1242.519281129546
5,1.5,4.0,1h,206,3.7974683544303796,-10322.10920084318
5,1.5,4.0,4h,175,9.558823529411764,-4632.339849448623
5,2.0,1.0,none,221,51.295336787564764,472.7866251976932
5,2.0,1.0,1h,206,42.16867469879518,-2401.8620222542486
5,2.0,1.0,4h,175,46.62162162162162,-896.8720200976728
5,2.0,2.0,none,221,28.8135593220339,-1399.3699899562544
5,2.0,2.0,1h,206,14.56953642384106,-7246.66672867299
