pivot,sl_mult,tp_mult,tf_filter,trades,winrate,pnl
3,2.0,1.0,none,4193,49.3913984311604,-3276.8266893199825
3,2.0,1.0,1h,3831,37.55206664530599,-80189.38190611801
3,2.0,1.0,4h,3343,41.20819848975189,-50751.55851137423
3,2.0,2.0,none,4193,30.338105391410295,-450.29727078166184
3,2.0,2.0,1h,3831,16.104461371055496,-125034.51358965388
3,2.0,2.0,4h,3343,21.620521172638437,-69425.20088413094
3,2.0,3.0,none,4193,20.414201183431953,8782.738286499694
3,2.0,3.0,1h,3831,8.071239105721864,-147005.737565396
3,2.0,3.0,4h,3343,13.03972366148532,-74591.92591272603
3,2.0,4.0,none,4193,13.832752613240418,13274.585635497177
3,2.0,4.0,1h,3831,4.29732868757259,-162020.1364153603
3,2.0,4.0,4h,3343,7.858105074090705,-80620.06951424274
5,0.5,1.0,none,4187,47.340680402491614,-22127.546815140464
5,0.5,1.0,1h,3817,44.87043892120571,-39065.74106343587
5,0.5,1.0,4h,3332,44.927536231884055,-33731.62665239179
5,0.5,2.0,none,4187,32.39402697495183,-10500.314341310826
5,0.5,2.0,1h,3817,28.05041566103513,-56384.21832574168
5,0.5,2.0,4h,3332,28.73317013463892,-42480.636504048016
5,0.5,3.0,none,4187,24.21951219512195,-5561.580549469305
5,0.5,3.0,1h,3817,18.908594815825374,-79430.84724795126
5,0.5,3.0,4h,3332,19.744627841793832,-58657.19924781805
5,0.5,4.0,none,4187,18.902288949052423,-9171.1390230117
5,0.5,4.0,1h,3817,13.053097345132743,-107274.00554730139
5,0.5,4.0,4h,3332,14.335223692501575,-75020.52305688395
5,1.0,1.0,none,4187,59.69563082965145,78776.16379028818
5,1.0,1.0,1h,3817,53.559510567296996,24929.469793445285
5,1.0,1.0,4h,3332,54.74913221836542,30086.065212410584
5,1.0,2.0,none,4187,40.05674490585504,89424.75443004005
5,1.0,2.0,1h,3817,30.3608708619147,-16538.97933786489
5,1.0,2.0,4h,3332,33.43413978494624,11023.744678932871
5,1.0,3.0,none,4187,29.445043103448278,97716.2659062009
5,1.0,3.0,1h,3817,18.82793017456359,-49938.23195612365
5,1.0,3.0,4h,3332,22.343420126671358,-4639.089899936238
5,1.0,4.0,none,4187,22.1850613154961,98000.42615084091
5,1.0,4.0,1h,3817,11.510099390830394,-85669.907801416
5,1.0,4.0,4h,3332,14.847161572052402,-25667.86843476785
5,1.5,1.0,none,4187,57.02182284980744,56173.38009968816
5,1.5,1.0,1h,3817,47.728631201434546,-14720.090346813395
5,1.5,1.0,4h,3332,50.52382561676242,3411.0511157027363
5,1.5,2.0,none,4187,36.5819209039548,59562.98484331615
5,1.5,2.0,1h,3817,23.817455029980014,-65327.11419029995
5,1.5,2.0,4h,3332,28.52852852852853,-20037.51154662715
5,1.5,3.0,none,4187,25.415533393774556,64095.318671836845
5,1.5,3.0,1h,3817,12.336975678533662,-102921.12963172555
5,1.5,3.0,4h,3332,16.767189384800965,-39443.690730204486
5,1.5,4.0,none,4187,18.433619866284623,70669.91108924983
5,1.5,4.0,1h,3817,7.339117859725235,-120340.45653353716
5,1.5,4.0,4h,3332,10.667786644267114,-46256.784055912445
5,2.0,1.0,none,4187,55.267512410369555,39814.183010635184
5,2.0,1.0,1h,3817,43.5554067626381,-39113.59381766469
5,2.0,1.0,4h,3332,47.98670114517917,-11326.194692831472
5,2.0,2.0,none,4187,33.85103011093502,40850.69977821437
5,2.0,2.0,1h,3817,18.412942989214176,-93042.2041460756
5,2.0,2.0,4h,3332,24.30227565478746,-38629.85351122437
5,2.0,3.0,none,4187,22.8502080443828,50722.53175367224
5,2.0,3.0,1h,3817,9.352226720647772,-116014.41177953019
5,2.0,3.0,4h,3332,13.82038157282457,-46627.15817318557
5,2.0,4.0,none,4187,15.096439169139465,49586.856900775325
5,2.0,4.0,1h,3817,4.660840615896796,-134871.86766693916
5,2.0,4.0,4h,3332,7.744763760350707,-57451.82566888358
7,0.5,1.0,none,4181,51.1633485248261,9918.671974905614
7,0.5,1.0,1h,3796,49.8136315228967,-962.7439982509659
7,0.5,1.0,4h,3319,50.3951367781155,2887.576879351971
7,0.5,2.0,none,4181,35.87509077705156,33540.17129457509
7,0.5,2.0,1h,3796,32.302685109845406,-7335.769830294728
7,0.5,2.0,4h,3319,33.6523618400741,5817.312265886543
7,0.5,3.0,none,4181,27.181372549019606,43604.58572902547
7,0.5,3.0,1h,3796,22.11458621644063,-28935.699168932606
7,0.5,3.0,4h,3319,23.84251968503937,-4609.803783525169
7,0.5,4.0,none,4181,21.59344750558451,49489.67248865939
7,0.5,4.0,1h,3796,16.188870151770658,-45369.135232754474
7,0.5,4.0,4h,3319,17.98975672215109,-11558.262984272656
7,1.0,1.0,none,4181,65.58954119388258,126783.94845209712
7,1.0,1.0,1h,3796,59.977452085682074,70427.99315480537
7,1.0,1.0,4h,3319,61.21927864666454,70326.58832761427
7,1.0,2.0,none,4181,45.00912170966901,148421.66722787006
7,1.0,2.0,1h,3796,35.82952815829528,39065.93916230992
7,1.0,2.0,4h,3319,38.42449260405917,57086.45135972212
7,1.0,3.0,none,4181,32.757201646090536,151298.36350102111
7,1.0,3.0,1h,3796,21.885087153001937,-1572.441699797335
7,1.0,3.0,4h,3319,25.780682643427742,39464.86907449959
7,1.0,4.0,none,4181,25.77054794520548,166745.94512960268
7,1.0,4.0,1h,3796,14.687186349949815,-22788.631667612324
7,1.0,4.0,4h,3319,18.851530034000756,35640.26541727976
7,1.5,1.0,none,4181,61.06056667533143,86847.5943999188
7,1.5,1.0,1h,3796,52.48618784530387,17103.16139387776
7,1.5,1.0,4h,3319,55.41709934233299,31773.49733367991
7,1.5,2.0,none,4181,40.07501442585112,97104.02161389805
7,1.5,2.0,1h,3796,26.79692951849267,-31278.38229357869
7,1.5,2.0,4h,3319,32.29207340882468,12055.741117519823
7,1.5,3.0,none,4181,28.75857766687461,111440.4254861824
7,1.5,3.0,1h,3796,15.230312035661218,-60236.01935675806
7,1.5,3.0,4h,3319,20.90181205225453,4862.9266736824975
7,1.5,4.0,none,4181,20.650730411686588,115222.85074397078
7,1.5,4.0,1h,3796,8.775981524249422,-84352.46601740122
7,1.5,4.0,4h,3319,13.080357142857142,-6999.759339056001
7,2.0,1.0,none,4181,60.13437849944009,75152.30886645507
7,2.0,1.0,1h,3796,49.15836482308485,-4843.424463245028
7,2.0,1.0,4h,3319,52.661596958174904,15034.504905357535
7,2.0,2.0,none,4181,38.44147375285295,83490.40877092845
7,2.0,2.0,1h,3796,22.49289484368656,-53940.70703506593
7,2.0,2.0,4h,3319,29.00626678603402,-3341.4301930809524
7,2.0,3.0,none,4181,25.66051393412957,89038.20372625598
7,2.0,3.0,1h,3796,11.053315994798439,-84379.24001821697
7,2.0,3.0,4h,3319,16.20689655172414,-17511.180430646215
7,2.0,4.0,none,4181,17.102694260054665,89206.41495784608
7,2.0,4.0,1h,3796,5.640107430617726,-102183.10684823274
7,2.0,4.0,4h,3319,8.797501301405518,-31469.528247982656
9,0.5,1.0,none,4175,53.82395382395382,32119.724972603006
9,0.5,1.0,1h,3774,52.054794520547944,15699.650405217386
9,0.5,1.0,4h,3301,52.97181372549019,19942.375737565042
9,0.5,2.0,none,4175,40.174884624726744,87269.80350289933
9,0.5,2.0,1h,3774,35.78918322295806,33024.18659124857
9,0.5,2.0,4h,3301,37.83699059561128,48358.82049206437
9,0.5,3.0,none,4175,30.56379821958457,101165.87729584871
9,0.5,3.0,1h,3774,24.357163040406896,5512.03632719364
9,0.5,3.0,4h,3301,27.03917790622993,38091.86355932706
9,0.5,4.0,none,4175,25.382109746930595,127582.75986141161
9,0.5,4.0,1h,3774,18.737388296339002,5502.248630045166
9,0.5,4.0,4h,3301,21.131828590121035,40544.44495618786
9,1.0,1.0,none,4175,69.90074441687345,160695.6723118103
9,1.0,1.0,1h,3774,64.50688073394495,102200.6973843034
9,1.0,1.0,4h,3301,66.3854639844257,101881.13879134426
9,1.0,2.0,none,4175,49.45838837516513,197074.0745566785
9,1.0,2.0,1h,3774,39.41010354565422,76047.79468778026
9,1.0,2.0,4h,3301,42.771509167842034,94707.47620790491
9,1.0,3.0,none,4175,37.06703910614525,213708.99201488146
9,1.0,3.0,1h,3774,24.890829694323145,40445.61507315725
9,1.0,3.0,4h,3301,28.770739064856713,77123.55045175862
9,1.0,4.0,none,4175,28.09747504403993,213177.43538171044
9,1.0,4.0,1h,3774,15.695224719101123,3375.474695746189
9,1.0,4.0,4h,3301,19.897151898734176,57454.068586859416
9,1.5,1.0,none,4175,65.92592592592592,122983.2426780122
9,1.5,1.0,1h,3774,56.76442762535478,44682.33353725948
9,1.5,1.0,4h,3301,60.89108910891089,62671.6724474715
9,1.5,2.0,none,4175,44.93223335297584,146713.88243473665
9,1.5,2.0,1h,3774,30.626365622723963,4708.030926476358
9,1.5,2.0,4h,3301,36.02281988590057,44377.73236650355
9,1.5,3.0,none,4175,31.2984496124031,148629.6848755777
9,1.5,3.0,1h,3774,16.416732438831886,-34846.779488139895
9,1.5,3.0,4h,3301,22.117962466487935,26372.033797805307
9,1.5,4.0,none,4175,22.30340988169798,150840.68401645726
9,1.5,4.0,1h,3774,9.173179761415055,-60173.57475654039
9,1.5,4.0,4h,3301,14.184060721062618,17381.813641379973
9,2.0,1.0,none,4175,64.65566306203756,105309.19463378261
9,2.0,1.0,1h,3774,53.33095831848949,18872.31842652073
